,0,1,2
375,7452,"Flower, Jessie Graham",39
376,7453,"Lester, Pauline",39
377,7454,"Gordon, Grace",39
378,7455,"Thompson, Ames",39
379,7456,"Bates, Gordon",39
380,7457,"Chase, Josephine",39
381,7791,"Collins, William Wilkie",39
382,7792,"Collins, Wilkie",39
383,58,"Johnston, Annie Fellows",38
384,59,"Fellows, Annie",38
385,60,"Johnston, Annie F. (Annie Fellows)",38
386,1071,"Alighieri, Dante",38
387,1072,Dante Alighieri,38
388,1198,"Riggs, Kate Douglas Smith Wiggin",38
389,1199,"Smith, Kate Douglas",38
390,1200,"Riggs, George Christopher, Mrs.",38
391,1201,"Wiggin, Samuel Bradley, Mrs.",38
392,1202,"Wiggin, Kate Douglas Smith",38
393,1618,"Holmes, Oliver Wendell",38
394,2507,"Roosevelt, Theodore",38
395,2521,"Farquharson, Martha",38
396,2522,Cousin Martha,38
397,2523,"Finley, Martha",38
398,128,"Wood, Ellen Price",37
399,129,"Ludlow, Johnny",37
400,130,"Price, Ellen",37
401,131,"Wood, Mrs. Henry",37
402,132,"Wood, Mrs. Henry (Ellen)",37
403,133,"Wood, Henry, Mrs.",37
404,164,"Harper, C. G.",37
405,165,"Harper, Charles G. (Charles George)",37
406,540,"Stowe, Harriet Elizabeth Beecher",37
407,541,"Crowfield, Christopher",37
408,542,"Stowe, H. B. (Harriet Beecher)",37
409,543,"Stowe, Harriet Beecher",37
410,2504,United States President (1901-1909),37
411,2505,"Roosevelt, Teddy",37
412,3326,"Nesbit, Edith",37
413,3327,"Bland, Edith Nesbit",37
414,3328,"Nesbit, E. (Edith)",37
415,3874,"Braddon, Mary Elizabeth",37
416,3875,"White, Babington",37
417,3876,"Breddon, Miss",37
418,3877,"Maxwell, Mary Elizabeth Braddon",37
419,3878,"Braddon, Mary E.",37
420,3879,"Braddon, M. E. (Mary Elizabeth)",37
421,273,"Darwin, Charles Robert",36
422,274,"Darwin, Charles",36
423,957,"Hawkins, Anthony Hope",36
424,958,"Hope, Anthony",36
425,966,"Stockton, Frank R. (Frank Richard)",36
426,967,"Stockton, Francis Richard",36
427,968,"Stockton, Frank Richard",36
428,1473,"McCutcheon, George Barr",36
429,1866,"Schiller, Johann Christoph Friedrich von",36
430,1867,"Schiller, Friedrich von",36
431,1873,"Schiller, Friedrich",36
432,3005,"Strang, Herbert",36
433,3229,"De Maupassant, Guy",36
434,3230,"Maupassant, Guy de",36
435,5243,"Fitzhugh, P. K. (Percy Keese)",36
436,5244,"Fitzhugh, Percy K.",36
437,5245,"Lloyd, Hugh",36
438,5246,"Fitzhugh, Percy Keese",36
439,1110,"Dyke, Henry Van",35
440,1111,"Dyke, Henry Jackson Van",35
441,1112,"Dyke, Henry I. Van",35
442,1122,"Van Dyke, Henry",35
443,1551,"O'Hara, Kenneth",35
444,1552,"Walton, Bryce",35
445,1628,"Wilde, Oscar Fingal O'Flahertie Wills",35
446,1629,"Wilde, Oscar",35
447,2888,"Thibault, Jacques-Anatole-François",35
448,2889,"Thibault, Jacques-Anatole-Francois",35
449,2890,"Thibault, Anatole",35
450,2891,"France, Anatole",35
451,3043,"Arthur, Timothy Shay",35
452,3044,Uncle Herbert,35
453,3045,"Herbert, Uncle",35
454,3046,"Arthur, T. S. (Timothy Shay)",35
455,3561,"Altsheler, Joseph Alexander",35
456,3562,"Altsheler, J. A. (Joseph Alexander)",35
457,3563,"Altsheler, Joseph A. (Joseph Alexander)",35
458,4605,"Piper, Henry Beam",35
459,4606,"Piper, H. Beam",35
460,5145,"Jerome, Jerome Klapka",35
461,5149,"Jerome, Jerome K. (Jerome Klapka)",35
462,5598,"Hoare, Edward",35
463,2026,"Appleton, Victor",34
464,2089,"Lancaster, William Joseph Cosens",34
465,2090,"Collingwood, Harry",34
466,4544,"Ward, Mary Augusta Arnold",34
467,4545,"Ward, Mrs. Humphry",34
468,4546,"Arnold, Mary Augusta",34
469,4547,"Ward, Humphry, Mrs.",34
470,6868,"Williamson, Alice Muriel",34
471,6869,"Williamson, Mrs. C. N.",34
472,6871,"Williamson, A. M. (Alice Muriel)",34
473,8252,"Administration, Work Projects",34
474,8253,United States. Work Projects Administration,34
475,12247,"McCord, Guy",34
476,12248,"Reynolds, Dallas McCord",34
477,12249,"Mallory, Mark",34
478,12250,"Reynolds, Mack",34
479,403,"Edwards, Al",33
480,404,"Nourse, Alan E. (Alan Edward)",33
481,405,"Nourse, Alan Edward",33
482,1876,"Paine, Albert Bigelow",33
483,1899,"Lawrence, D.H.",33
484,1900,"Lawrence, David Herbert",33
485,1901,"Davison, Lawrence H. (Lawrence Herbert)",33
486,1902,"Lawrence, D. H. (David Herbert)",33
487,6865,"Allen, Charles Grant Blairfindie",33
488,6866,"Allen, Grant",33
489,1275,"Ingersoll, Bob",32
490,1276,"Ingersoll, R. G. (Robert Green)",32
491,1277,"Ingersoll, Robert G. (Robert Green)",32
492,1278,"Ingersoll, Robert Green",32
493,1294,"LeFanu, J. S. (Joseph Sheridan)",32
494,1295,"Fanu, Joseph Sheridan Le",32
495,1296,"Fanu, J. Sheridan Le",32
496,1297,"Le Fanu, Joseph Sheridan",32
497,1532,"Fontaine, Jean de La",32
498,1533,"De La Fontaine, Jean",32
499,1534,"Fontaine, Jean de la",32
500,1535,"La Fontaine, Jean de",32
501,1769,"Matthews, Stanley R.",32
502,6088,"Besant, Sir Walter",32
503,6089,"Maurice, Walter",32
504,6090,"Besant, Walter",32
505,907,"Holmes, Gordon",31
506,1172,"Wirt, Mildred Augustine",31
507,1173,"Benson, Mildred Wirt",31
508,1174,"Augustine, Mildred",31
509,1175,"Benson, Millie",31
510,1176,"Wirt, Ann",31
511,1177,"Wirt, Mildred A. (Mildred Augustine)",31
512,1820,"Barrie, James Matthew",31
513,1821,"Barrie, J.M.",31
