author_name,book_id
"Rohlfs, Anna Katharine Green",47184
"Rohlfs, Anna Katharine Green",65255
"Rohlfs, Anna Katharine Green",20188
"Green, Anna Katharine",48092
"Green, Anna Katharine",48978
"Miller, Cincinnatus Heine",24425
"Miller, Cincinnatus Hiner",42218
"Luska, Sidney",16102
"Luska, Sidney",62704
"Harland, Henry",46729
"Harland, Henry",45544
"Crawford, Francis Marion",27490
"Crawford, Francis Marion",4095
"Crawford, F. Marion (Francis Marion)",15075
"Gillington, May Clarissa",57991
"Clare, Maurice",14207
"Clare, Maurice",68566
"Byron, May Clarissa Gillington",65626
"Byron, Mary Clarissa Gillington",39213
"Byron, May",6807
"Grile, Dod",54021
"Grile, Dod",61029
"Grile, Dod",66316
"Bierce, Ambrose",65381
"Porter, Eleanor Hodgman",35445
"Porter, Eleanor Hodgman",60814
"Porter, Eleanor H. (Eleanor Hodgman)",54129
"Adams, Harrison",63486
"Clifton, Oliver Lee",516
"St. George, Harry",49026
"Alden, Isabella Macdonald",69983
"Alden, Isabella Macdonald",61218
"Alden, Mrs. G. R. (Isabella)",69463
Pansy,66390
Pansy,54106
"Riggs, Kate Douglas Smith Wiggin",65625
"Riggs, Kate Douglas Smith Wiggin",54585
"Riggs, Kate Douglas Smith Wiggin",55659
"Smith, Kate Douglas",67233
"Riggs, George Christopher, Mrs.",43332
"Wiggin, Samuel Bradley, Mrs.",66067
"Wiggin, Samuel Bradley, Mrs.",56764
"Wiggin, Kate Douglas Smith",57713
"Wiggin, Kate Douglas Smith",3062
"McElroy, John",52193
"McElroy, John",67400
"McElroy, John",62383
"Raymond, Evelyn Hunt",50871
"Raymond, Evelyn Hunt",31702
"Raymond, Evelyn",68526
"Raymond, Evelyn",50306
"Graham, John",61339
"Graham, John",54903
"Graham, John",1086
"Phillips, David Graham",57216
"Phillips, David Graham",67771
"Stevenson, Burton E.",24766
"Stevenson, Burton E.",56643
"Stevenson, Burton Egbert",65699
"Stevenson, Burton Egbert",38397
"Stevenson, Burton Egbert",56488
"Lagerlof, Selma",55609
"Lagerlof, Selma",60063
"Lagerlof, Selma",46456
"Lagerlöf, Selma Ottiliana Lovisa",53376
"Lagerlöf, Selma Ottiliana Lovisa",49336
"Wheeler, F. G.",56989
"Wheeler, F. G.",66617
"Montgomery, F. T. (Frances Trego)",69697
"Montgomery, Frances Trego",35800
"Footner, Hulbert",35085
"Footner, Hulbert",16236
"Footner, Hulbert",53582
"Ingersoll, Bob",7511
"Ingersoll, Bob",31560
"Ingersoll, Bob",56157
"Ingersoll, Robert G. (Robert Green)",68834
"Ingersoll, Robert G. (Robert Green)",40818
"Ingersoll, Robert Green",15981
"Fairman, Paul W.",52663
"Fairman, Paul W.",52215
"Fairman, Paul W.",36573
"Lesser, Milton",41948
"Lesser, Milton",63624
"Thames, C. H.",30473
"Thames, C. H.",35929
"Thames, C. H.",48973
"Ridgway, Jason",15244
"Ridgway, Jason",54013
"Chase, Adam",47913
"Wilder, Stephen",50508
"Granger, Darius John",53905
"Granger, Darius John",56774
"Marlowe, Stephen",5127
"Saltus, Edgar Evertson",17231
"Saltus, Edgar Evertson",17947
"Saltus, Edgar Evertson",65341
"Saltus, Edgar",45979
"Norton, Andre Alice",50908
"Norton, Andre Alice",47334
"Norton, Andre Alice",35453
"Norton, Alice Mary",56137
"Norton, Alice Mary",63538
"Norton, Alice Mary",49356
"Norton, Alice Mary",19885
"North, Andrew",20507
"North, Andrew",996
"Norton, Andre",49379
"Matthews, James Brander",14799
"Matthews, James Brander",69988
"Matthews, James Brander",7996
"Bunner, H. C. (Henry Cuyler)",13449
"Boyd, Nancy",55138
"Boyd, Nancy",62402
"Boyd, Nancy",53073
"Fritch, Charles E.",66035
"Fritch, Charles E.",62493
"Fritch, Charles E.",3217
"Fritch, Charles E.",57964
"Vance, Louis Joseph",13663
"Jayne, R. H.",36933
"Jayne, R. H.",64479
"Ellis, E. S. (Edward Sylvester)",30317
"Ellis, Edward S. (Edward Sylvester)",16149
"Ellis, Edward S. (Edward Sylvester)",7500
"Ellis, Edward S. (Edward Sylvester)",57259
"Ellis, Edward S. (Edward Sylvester)",68385
"Randolph, Geoffrey",67766
"Randolph, Geoffrey",53253
"Hawthorne, R. M.",3567
"LaSalle, Charles E.",59123
"Adams, J. F. C. (James Fenimore Cooper)",53305
"Adams, James Fenimore Cooper",69901
"Adams, James Fenimore Cooper",48888
"Adams, Capt. 'Bruin'",60472
"Muller, Billex",45501
"Muller, Billex",55703
"Muller, Billex",43781
"Muller, Billex",53568
"Robins, Seelin",67417
"Belknap, Boynton H.",44565
"Belknap, Boynton H.",68312
"Rodman, Emerson",57058
"Ellis, Edward Sylvester",69502
"Fredericks, Arnold",649
"Fredericks, Arnold",12688
"McCutcheon, George Barr",16851
"McCutcheon, George Barr",67668
"Yonge, Charlotte Mary",52011
"Yonge, Charlotte Mary",29703
"Yonge, Charlotte Mary",54032
"Yonge, C. M. (Charlotte Mary)",50332
"Yonge, C. M. (Charlotte Mary)",41585
"Yonge, C. M. (Charlotte Mary)",48955
"Yonge, C. M. (Charlotte Mary)",67774
"Habberton, John",53906
"Habberton, John",28049
"Harris, Joel Chandler",62266
"Harris, Joel Chandler",69010
"Harris, Joel Chandler",52853
"Fitch, Clyde",63353
"Aldrich, T. B. (Thomas Bailey)",47505
"Aldrich, T. B. (Thomas Bailey)",3174
"Aldrich, T. B. (Thomas Bailey)",50793
"Adams, William T. (William Taylor)",16710
"Adams, William T. (William Taylor)",54455
"Adams, William Taylor",68935
"Adams, William Taylor",58064
"Optic, Oliver",20662
"Optic, Oliver",23824
"O'Hara, Kenneth",50233
"O'Hara, Kenneth",53635
"Walton, Bryce",30751
"Walton, Bryce",68693
"Jordan, Louise",3550
"Hendryx, James B. (James Beardsley)",62002
"Smith, George Oliver",58046
"Long, Wesley",55538
"Long, Wesley",57396
"Smith, George O. (George Oliver)",49347
"Holmes, Oliver Wendell",47764
"Holmes, Oliver Wendell",27267
"Holmes, Oliver Wendell",55407
"Garret, Randall",65091
"Garret, Randall",38638
"Garrett, Randall",62082
"Garrett, Randall",14878
"Garrett, Randall",60610
"Janifer, Laurence Mark",64622
"Janifer, Laurence Mark",51513
"Harris, Larry M.",27941
"Janifer, Larry",49447
"Janifer, Larry",66338
"Silverberg, Robert",16266
"Davidson, Marion",59554
"Davidson, Marion",27038
"Garis, Howard R.",63303
"Garis, Howard Roger",43717
"Bodenheimer, Maxwell",60102
"Bodenheimer, Maxwell",59718
"Hecht, Ben",46393
"Hecht, Ben",62566
"Hecht, Ben",34633
"Hecht, Ben",61534
"Howe, Maud",801
"Howe, Maud",49059
"Howe, Maud",47748
"Richards, Laura E.",57657
"Richards, Laura Elizabeth Howe",48348
"Richards, Laura Elizabeth Howe",19496
"Saunders, Margaret Marshall",58965
"Saunders, Marshall",59102
