,0,1,2
409,2505,"Roosevelt, Teddy",38
410,2521,"Farquharson, Martha",38
411,2522,Cousin Martha,38
412,2523,"Finley, Martha",38
413,3874,"Braddon, Mary Elizabeth",38
414,3875,"White, Babington",38
415,3876,"Breddon, Miss",38
416,3877,"Maxwell, Mary Elizabeth Braddon",38
417,3879,"Braddon, M. E. (Mary Elizabeth)",38
418,4605,"Piper, Henry Beam",38
419,4606,"Piper, H. Beam",38
420,5145,"Jerome, Jerome Klapka",38
421,5149,"Jerome, Jerome K. (Jerome Klapka)",38
422,128,"Wood, Ellen Price",37
423,129,"Ludlow, Johnny",37
424,130,"Price, Ellen",37
425,131,"Wood, Mrs. Henry",37
426,132,"Wood, Mrs. Henry (Ellen)",37
427,133,"Wood, Henry, Mrs.",37
428,164,"Harper, C. G.",37
429,165,"Harper, Charles G. (Charles George)",37
430,957,"Hawkins, Anthony Hope",37
431,958,"Hope, Anthony",37
432,966,"Stockton, Frank R. (Frank Richard)",37
433,967,"Stockton, Francis Richard",37
434,968,"Stockton, Frank Richard",37
435,3878,"Braddon, Mary E.",37
436,1473,"McCutcheon, George Barr",36
437,1866,"Schiller, Johann Christoph Friedrich von",36
438,1867,"Schiller, Friedrich von",36
439,1873,"Schiller, Friedrich",36
440,2026,"Appleton, Victor",36
441,3005,"Strang, Herbert",36
442,3229,"De Maupassant, Guy",36
443,3230,"Maupassant, Guy de",36
444,5243,"Fitzhugh, P. K. (Percy Keese)",36
445,5244,"Fitzhugh, Percy K.",36
446,5245,"Lloyd, Hugh",36
447,5246,"Fitzhugh, Percy Keese",36
448,1110,"Dyke, Henry Van",35
449,1111,"Dyke, Henry Jackson Van",35
450,1112,"Dyke, Henry I. Van",35
451,1122,"Van Dyke, Henry",35
452,1551,"O'Hara, Kenneth",35
453,1552,"Walton, Bryce",35
454,1899,"Lawrence, D.H.",35
455,1900,"Lawrence, David Herbert",35
456,1901,"Davison, Lawrence H. (Lawrence Herbert)",35
457,1902,"Lawrence, D. H. (David Herbert)",35
458,2888,"Thibault, Jacques-Anatole-François",35
459,2889,"Thibault, Jacques-Anatole-Francois",35
460,2890,"Thibault, Anatole",35
461,2891,"France, Anatole",35
462,3043,"Arthur, Timothy Shay",35
463,3044,Uncle Herbert,35
464,3045,"Herbert, Uncle",35
465,3046,"Arthur, T. S. (Timothy Shay)",35
466,3561,"Altsheler, Joseph Alexander",35
467,3562,"Altsheler, J. A. (Joseph Alexander)",35
468,3563,"Altsheler, Joseph A. (Joseph Alexander)",35
469,5598,"Hoare, Edward",35
470,2089,"Lancaster, William Joseph Cosens",34
471,2090,"Collingwood, Harry",34
472,4544,"Ward, Mary Augusta Arnold",34
473,4545,"Ward, Mrs. Humphry",34
474,4546,"Arnold, Mary Augusta",34
475,4547,"Ward, Humphry, Mrs.",34
476,6868,"Williamson, Alice Muriel",34
477,6869,"Williamson, Mrs. C. N.",34
478,6871,"Williamson, A. M. (Alice Muriel)",34
479,8252,"Administration, Work Projects",34
480,8253,United States. Work Projects Administration,34
481,12247,"McCord, Guy",34
482,12248,"Reynolds, Dallas McCord",34
483,12249,"Mallory, Mark",34
484,12250,"Reynolds, Mack",34
485,403,"Edwards, Al",33
486,404,"Nourse, Alan E. (Alan Edward)",33
487,405,"Nourse, Alan Edward",33
488,1294,"LeFanu, J. S. (Joseph Sheridan)",33
489,1295,"Fanu, Joseph Sheridan Le",33
490,1296,"Fanu, J. Sheridan Le",33
491,1297,"Le Fanu, Joseph Sheridan",33
492,1532,"Fontaine, Jean de La",33
493,1533,"De La Fontaine, Jean",33
494,1534,"Fontaine, Jean de la",33
495,1535,"La Fontaine, Jean de",33
496,1820,"Barrie, James Matthew",33
497,1821,"Barrie, J.M.",33
498,1822,"Barrie, J. M. (James Matthew)",33
499,1876,"Paine, Albert Bigelow",33
500,6865,"Allen, Charles Grant Blairfindie",33
501,6866,"Allen, Grant",33
502,1275,"Ingersoll, Bob",32
503,1276,"Ingersoll, R. G. (Robert Green)",32
504,1277,"Ingersoll, Robert G. (Robert Green)",32
505,1278,"Ingersoll, Robert Green",32
506,1340,"Poe, Edgar Allen",32
507,1345,"Poe, Edgar Allan",32
508,1769,"Matthews, Stanley R.",32
509,6088,"Besant, Sir Walter",32
510,6089,"Maurice, Walter",32
511,6090,"Besant, Walter",32
512,907,"Holmes, Gordon",31
513,1172,"Wirt, Mildred Augustine",31
514,1173,"Benson, Mildred Wirt",31
515,1174,"Augustine, Mildred",31
516,1175,"Benson, Millie",31
517,1176,"Wirt, Ann",31
518,1177,"Wirt, Mildred A. (Mildred Augustine)",31
519,1762,"Cobb, Irvin Shrewsbury",31
520,1763,"Cobb, Irvin S. (Irvin Shrewsbury)",31
521,1926,"Macaulay, Lord (Thomas Babington Macaulay)",31
